UserID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.23807368,0.0,0.0,1.1943144,0.0,0.3270401,0.3617466,0.0,0.6269819,0.043468222,0.48588166,0.0,0.12265316,0.5378823,0.8564611,0.51801825,0.0,0.3649451,0.0,0.64011824,0.0,0.0,0.046292342,0.0,0.09559067,0.55623305,0.44524804,0.48368737,0.0,0.2776202,0.3435594,0.0
2,0.0,0.0,0.32367903,0.0,0.71334183,0.03964519,0.0,0.70695263,0.0,0.0898519,1.0688579,0.37226024,0.0,0.8573675,0.0,0.0,0.33406278,0.7398475,0.0,0.0,0.74255246,0.7425281,1.3137829,0.0,0.0,1.0731432,0.06987549,0.0,0.558679,0.0,0.0,0.79113305
3,0.0,0.0,0.0,0.0,0.0,0.14487468,0.0,0.48774448,0.0,0.10263725,0.0,0.0,0.0,0.32480615,0.23188837,0.0,0.77005875,0.005990818,0.5024876,0.0,0.0,0.5410481,0.9965596,0.0,0.0,0.012466316,0.0,0.0,0.65636176,0.62482977,0.0,0.09810368
4,0.0,0.0,0.38399422,0.0,0.0,0.0,0.0,1.5423276,0.0,0.2486034,0.5648942,0.0,0.0,0.23614503,0.0,0.0,0.92100173,0.0,0.47097048,0.1650932,0.4447397,1.0557199,1.000289,0.0,0.0,0.0,0.0,0.0,1.2100592,0.0,0.0,0.5837704
5,0.0,0.0,0.9578409,0.0,0.16398972,0.0,0.0,0.29854614,0.0,0.39492464,1.3938537,0.027244234,0.8881973,0.0,0.0,0.0,0.43904623,0.70497465,0.0,0.9692806,0.58814216,0.0,0.6900284,0.0,0.30872598,0.8023216,0.0,0.2696282,0.5940561,0.0,0.29159185,0.61070985
6,0.0,0.0,0.0,0.26564962,0.0,0.0,0.0,0.0,0.0,0.3260572,0.6620594,0.07006446,0.0,0.0,1.2148366,0.12386764,0.8487996,0.0,0.0,0.19974798,0.0,0.48561847,0.0,0.0,0.0,1.1967793,1.3816843,0.17802185,0.0,0.0,0.31033203,0.0
7,0.0,0.037606943,0.9127649,0.0,1.3604283,0.01704689,0.0,0.0,0.6116602,0.0,1.119235,0.73332113,0.0,1.2282215,0.0,0.07758011,0.8294193,0.13320225,0.0,0.2602868,0.0,0.7916382,0.8643733,0.0,0.0,1.5809394,0.2098137,0.51716036,1.1368946,0.0,0.0,0.14295459
8,0.0,0.0,0.0,0.0,0.06271395,0.0,0.0,1.0550112,0.0,0.4843818,0.9472315,0.41143134,0.0,0.24759024,0.0,0.0,1.0148896,0.0,0.0,0.47983035,0.0,0.80079406,0.587097,0.0,0.0,0.7901382,0.0,0.0,1.1027302,0.0,0.0,0.110408925
9,0.0,0.17162721,0.0,0.0,0.0,0.0,0.0,0.2982816,0.0062278905,0.0,0.5098542,0.5743948,0.0,0.7635707,1.3261156,0.0,0.6270286,0.41742036,0.0,0.47342253,0.45683953,0.19672063,0.5174923,0.0,0.0,0.41352335,0.019146785,0.0,0.017747011,0.0,0.41291818,0.57667464
10,0.0,0.0,0.8085399,0.0,0.81150305,0.1429943,0.0,0.55346537,0.33327138,0.24190263,1.137936,0.33681723,0.0044047786,0.0,0.0,0.1011273,0.26900184,0.0,0.0,0.17690504,0.0,0.36685428,0.58141065,0.0,0.0,0.97978747,0.050973956,0.6650732,0.26303554,0.0,0.0,0.0
11,0.37122568,0.0,1.056718,0.0,0.33097762,0.19955611,0.0,0.49946195,0.0,0.15836628,0.22066225,0.44718412,0.0,0.7348135,0.09824571,0.113853164,0.5331083,0.0,0.15709236,0.0,0.71006876,0.0077839196,0.6039565,0.0,0.22480103,0.5111063,0.0,0.0,0.33683994,0.0,0.0,0.25679407
12,0.323359,0.0,0.29813534,0.0,0.0,0.0,0.0,0.8108538,0.0,0.19901422,0.68739897,0.6066208,0.21275313,0.6077164,0.0,0.0,0.26444092,0.0,0.0,1.095737,0.0,0.24057636,0.17437665,0.30730474,0.4171733,0.69710827,0.0,0.686646,0.5709459,0.0,0.08419866,0.0
