MovieID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.024205765,0.0,0.0,0.7040306,1.0308477,0.0,0.0,0.08713631,1.3913194,0.0,0.75556034,0.4955752,0.0,0.3813787,0.0,1.6121666,0.0,0.0,0.0,0.0,0.50028735,0.0,0.0,0.1607602,0.0,0.32623523,1.6243833,0.0,0.05393364,0.71691173,0.33717585,0.0
2,0.2710819,0.0,2.722795,1.60168,0.54385674,0.0,0.0,3.481411,2.2498295,0.12414596,0.0,3.4478981,1.8490294,1.0069035,0.0,1.2888986,0.0,0.0,0.0,2.3396025,0.6581944,0.0,0.0,0.0,0.0,0.0,2.2613285,0.0,0.34042713,0.0,0.0,0.66805124
3,0.0,1.4526373,0.0,0.0,1.7097374,0.0,3.403889,0.0,0.0,0.58538914,1.1543705,0.0,0.48993757,0.6514322,0.0,2.176674,0.0,0.0,0.83652157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6867065,0.0,0.0,1.5196158
4,0.0,1.05347,0.0,0.0,0.0,0.59039265,1.786943,0.0,0.0,0.10495787,1.3977194,0.0,0.96761113,0.9894857,0.0,0.0,0.6181104,1.3337208,0.0,0.0,0.0,0.0,0.0,1.1700821,0.6681608,0.0,0.0,0.630737,0.0,1.4037523,0.21604913,0.6412145
5,0.0,1.3829532,0.0,0.0,2.3109436,1.957403,2.4377456,0.0,0.0,1.9517238,1.1700358,0.0,1.5061673,0.35781294,0.0,0.34392232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021259839,0.2871258,0.027842533,0.0,1.7132959,0.6551838,0.0,1.6161523
6,0.5660139,0.0,0.0,1.3029497,0.25532618,0.0,0.0,0.0,1.507454,1.5160712,0.0,1.2775016,0.0,1.3856423,0.0,1.2091229,0.9783711,0.0,0.0,1.7677944,0.0,0.0,0.0,0.4049118,0.0,2.6110365,0.7451963,0.0,0.0,0.0,0.0,0.26222768
7,0.0,1.5849319,0.0,0.0,1.2693477,0.14414687,3.5221827,0.054190446,0.0,1.5434433,1.3302487,0.0,0.7910185,0.56209594,0.0,0.78414214,0.0,0.0,0.7707655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249042,0.0,2.7470057,0.092820786,0.0,1.8662301
8,0.08447733,0.0,3.7394903,2.9439368,1.0720329,0.0,0.0,2.8162985,2.9027824,0.0,0.0,2.6626554,0.0,0.0,0.0,0.76435477,0.0,0.0,0.0,0.0,1.8429307,0.0,0.0,0.0,0.0,0.0,2.796516,0.0,0.94379014,0.0,0.60790074,0.0
9,0.0,0.0,0.0,3.7655284,1.8096719,0.0,0.0,2.042873,2.787724,3.143645,0.0,2.5775127,0.0,0.0,0.0,2.9978666,0.0,0.0,0.0,2.3255389,0.0,0.0,0.0,0.0,0.0,2.106857,3.402135,0.0,0.59651077,0.0,0.0,1.1590923
10,0.72915363,0.0,1.9537702,3.345851,0.18412615,0.0,0.0,0.8251967,2.2023075,0.070766,0.0,2.9248128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37544927,1.0445169,0.0,0.0,0.0,0.0,1.7533963,2.1549704,0.0,0.0,0.0,0.22246718,0.0
